"account_id";"district_id";"frequency";"date"
6473;12;"MONTHLY FEE";930126
1649;46;"MONTHLY FEE";930126
2670;13;"MONTHLY FEE";930127
1127;27;"MONTHLY FEE";930127
163;30;"MONTHLY FEE";930127
2566;48;"MONTHLY FEE";930127
9;70;"MONTHLY FEE";930127
1144;59;"MONTHLY FEE";930128
2902;32;"MONTHLY FEE";930128
4296;63;"MONTHLY FEE";930128
443;64;"MONTHLY FEE";930128
3693;61;"MONTHLY FEE";930129
2070;72;"MONTHLY FEE";930129
1843;12;"MONTHLY FEE";930130
2714;1;"MONTHLY FEE";930130
4078;40;"MONTHLY FEE";930130
1675;36;"MONTHLY FEE";930201
5868;44;"MONTHLY FEE";930202
1805;1;"MONTHLY FEE";930202
2434;17;"MONTHLY FEE";930202
3007;16;"MONTHLY FEE";930202
2574;68;"MONTHLY FEE";930202
862;64;"WEEKLY FEE";930202
1132;1;"WEEKLY FEE";930203
4484;54;"MONTHLY FEE";930203
943;1;"MONTHLY FEE";930203
3514;7;"MONTHLY FEE";930203
3983;67;"MONTHLY FEE";930204
9265;1;"MONTHLY FEE";930204
465;32;"MONTHLY FEE";930204
982;54;"MONTHLY FEE";930205
411;70;"MONTHLY FEE";930205
890;14;"MONTHLY FEE";930205
627;63;"MONTHLY FEE";930205
2429;61;"MONTHLY FEE";930206
3960;64;"MONTHLY FEE";930206
2256;48;"MONTHLY FEE";930206
8051;1;"WEEKLY FEE";930207
2647;73;"MONTHLY FEE";930208
2241;6;"MONTHLY FEE";930208
5622;70;"MONTHLY FEE";930208
2884;1;"MONTHLY FEE";930208
1830;10;"MONTHLY FEE";930208
7753;74;"MONTHLY FEE";930208
244;24;"MONTHLY FEE";930208
1477;1;"MONTHLY FEE";930208
4240;50;"MONTHLY FEE";930208
1006;6;"MONTHLY FEE";930208
830;74;"MONTHLY FEE";930208
9188;45;"MONTHLY FEE";930208
1965;57;"FEE AFTER TRANSACTION";930208
1134;6;"MONTHLY FEE";930209
1601;10;"MONTHLY FEE";930209
2861;38;"MONTHLY FEE";930210
813;16;"MONTHLY FEE";930210
2585;75;"MONTHLY FEE";930210
2220;16;"MONTHLY FEE";930210
2763;64;"MONTHLY FEE";930211
2342;51;"MONTHLY FEE";930211
1944;72;"MONTHLY FEE";930212
1966;27;"MONTHLY FEE";930212
1801;46;"MONTHLY FEE";930213
2543;68;"MONTHLY FEE";930213
2293;31;"MONTHLY FEE";930213
11013;1;"WEEKLY FEE";930214
2423;30;"MONTHLY FEE";930214
142;51;"MONTHLY FEE";930215
3424;74;"MONTHLY FEE";930216
539;13;"FEE AFTER TRANSACTION";930216
979;21;"MONTHLY FEE";930216
3554;66;"MONTHLY FEE";930216
3545;51;"MONTHLY FEE";930217
3047;16;"MONTHLY FEE";930217
3374;21;"MONTHLY FEE";930217
96;68;"MONTHLY FEE";930218
461;30;"MONTHLY FEE";930218
3593;1;"MONTHLY FEE";930218
3026;24;"MONTHLY FEE";930218
1054;10;"MONTHLY FEE";930219
2433;71;"MONTHLY FEE";930219
3691;50;"MONTHLY FEE";930219
3787;70;"MONTHLY FEE";930219
128;2;"MONTHLY FEE";930219
3168;39;"MONTHLY FEE";930220
4937;12;"MONTHLY FEE";930220
2124;69;"MONTHLY FEE";930220
322;1;"MONTHLY FEE";930220
4355;31;"MONTHLY FEE";930221
1678;1;"MONTHLY FEE";930222
2396;2;"MONTHLY FEE";930222
1005;54;"WEEKLY FEE";930223
697;28;"MONTHLY FEE";930223
925;59;"MONTHLY FEE";930223
2110;64;"MONTHLY FEE";930223
1366;60;"MONTHLY FEE";930224
1050;57;"FEE AFTER TRANSACTION";930224
3117;33;"MONTHLY FEE";930224
562;50;"MONTHLY FEE";930225
5369;54;"MONTHLY FEE";930225
2242;7;"WEEKLY FEE";930225
197;1;"MONTHLY FEE";930225
496;69;"MONTHLY FEE";930226
2;1;"MONTHLY FEE";930226
7401;1;"MONTHLY FEE";930226
2486;1;"MONTHLY FEE";930227
428;1;"MONTHLY FEE";930227
3651;23;"MONTHLY FEE";930227
1775;17;"MONTHLY FEE";930227
1688;70;"MONTHLY FEE";930227
361;51;"MONTHLY FEE";930227
1829;43;"MONTHLY FEE";930227
1575;1;"MONTHLY FEE";930227
9203;70;"MONTHLY FEE";930227
3008;72;"MONTHLY FEE";930227
239;69;"WEEKLY FEE";930301
3302;21;"MONTHLY FEE";930302
415;25;"MONTHLY FEE";930303
3513;20;"MONTHLY FEE";930303
4134;7;"MONTHLY FEE";930303
1077;14;"MONTHLY FEE";930303
1713;43;"MONTHLY FEE";930303
1378;59;"MONTHLY FEE";930304
2503;1;"MONTHLY FEE";930305
559;46;"MONTHLY FEE";930305
6555;38;"WEEKLY FEE";930305
744;42;"MONTHLY FEE";930306
882;9;"MONTHLY FEE";930306
86;54;"MONTHLY FEE";930307
1126;56;"MONTHLY FEE";930308
2666;49;"MONTHLY FEE";930308
944;70;"MONTHLY FEE";930308
1545;1;"MONTHLY FEE";930308
2453;1;"MONTHLY FEE";930308
3734;43;"MONTHLY FEE";930308
3935;23;"MONTHLY FEE";930308
396;21;"MONTHLY FEE";930308
2694;7;"MONTHLY FEE";930308
4596;74;"MONTHLY FEE";930309
2489;72;"MONTHLY FEE";930309
2895;19;"MONTHLY FEE";930309
317;76;"MONTHLY FEE";930310
2555;53;"MONTHLY FEE";930310
494;60;"MONTHLY FEE";930311
2219;60;"MONTHLY FEE";930311
2581;72;"MONTHLY FEE";930311
112;6;"MONTHLY FEE";930312
3674;38;"MONTHLY FEE";930312
2039;44;"MONTHLY FEE";930312
2712;9;"MONTHLY FEE";930312
395;1;"MONTHLY FEE";930312
2974;9;"MONTHLY FEE";930313
123;21;"MONTHLY FEE";930313
9640;1;"MONTHLY FEE";930313
3108;53;"MONTHLY FEE";930314
2508;34;"MONTHLY FEE";930314
2458;40;"WEEKLY FEE";930314
588;66;"MONTHLY FEE";930314
7231;10;"MONTHLY FEE";930314
6701;49;"WEEKLY FEE";930315
3883;72;"MONTHLY FEE";930315
222;37;"MONTHLY FEE";930315
2497;65;"MONTHLY FEE";930316
1372;1;"MONTHLY FEE";930316
3835;50;"MONTHLY FEE";930316
7445;64;"MONTHLY FEE";930318
2527;38;"MONTHLY FEE";930319
425;9;"MONTHLY FEE";930319
860;1;"MONTHLY FEE";930319
6034;6;"WEEKLY FEE";930319
11065;11;"MONTHLY FEE";930319
9883;1;"MONTHLY FEE";930319
115;68;"MONTHLY FEE";930319
1189;59;"MONTHLY FEE";930319
3675;64;"MONTHLY FEE";930320
3069;66;"MONTHLY FEE";930320
2762;19;"MONTHLY FEE";930320
892;70;"MONTHLY FEE";930320
1535;46;"MONTHLY FEE";930320
2618;60;"MONTHLY FEE";930321
2651;2;"MONTHLY FEE";930321
5442;34;"MONTHLY FEE";930322
1787;30;"WEEKLY FEE";930322
1397;17;"MONTHLY FEE";930322
3785;10;"MONTHLY FEE";930324
623;1;"MONTHLY FEE";930324
8260;31;"MONTHLY FEE";930324
3678;1;"MONTHLY FEE";930324
3001;1;"MONTHLY FEE";930324
655;53;"MONTHLY FEE";930324
4093;1;"MONTHLY FEE";930325
3260;68;"MONTHLY FEE";930325
2528;65;"MONTHLY FEE";930325
2011;75;"MONTHLY FEE";930325
1721;68;"MONTHLY FEE";930325
1332;59;"MONTHLY FEE";930325
1402;74;"MONTHLY FEE";930326
3283;68;"MONTHLY FEE";930326
3781;31;"MONTHLY FEE";930326
7203;71;"MONTHLY FEE";930326
1065;72;"MONTHLY FEE";930327
3076;54;"MONTHLY FEE";930327
4347;1;"MONTHLY FEE";930327
1157;7;"MONTHLY FEE";930327
9403;1;"WEEKLY FEE";930327
1874;9;"MONTHLY FEE";930327
1115;34;"MONTHLY FEE";930327
3586;59;"MONTHLY FEE";930327
62;47;"MONTHLY FEE";930328
1771;69;"MONTHLY FEE";930328
5483;13;"MONTHLY FEE";930328
8330;48;"MONTHLY FEE";930328
187;5;"MONTHLY FEE";930328
423;12;"MONTHLY FEE";930328
6425;31;"MONTHLY FEE";930329
2493;62;"MONTHLY FEE";930329
2896;29;"MONTHLY FEE";930330
2245;29;"MONTHLY FEE";930330
3923;52;"MONTHLY FEE";930330
1898;70;"MONTHLY FEE";930401
3367;1;"MONTHLY FEE";930401
3391;74;"MONTHLY FEE";930401
8519;23;"MONTHLY FEE";930402
1780;1;"MONTHLY FEE";930402
3915;65;"MONTHLY FEE";930402
3980;75;"MONTHLY FEE";930403
4350;63;"MONTHLY FEE";930404
686;41;"MONTHLY FEE";930404
362;15;"MONTHLY FEE";930404
299;77;"MONTHLY FEE";930405
2488;5;"MONTHLY FEE";930406
2985;71;"MONTHLY FEE";930406
385;5;"MONTHLY FEE";930407
2817;56;"MONTHLY FEE";930407
2056;58;"MONTHLY FEE";930407
2002;1;"MONTHLY FEE";930408
748;10;"MONTHLY FEE";930408
220;72;"MONTHLY FEE";930409
1422;68;"MONTHLY FEE";930409
1147;44;"MONTHLY FEE";930410
3788;70;"MONTHLY FEE";930410
1891;32;"MONTHLY FEE";930410
1239;1;"MONTHLY FEE";930410
8321;77;"MONTHLY FEE";930412
3213;51;"MONTHLY FEE";930412
2838;3;"WEEKLY FEE";930413
3644;38;"MONTHLY FEE";930413
4318;33;"WEEKLY FEE";930413
2648;51;"MONTHLY FEE";930413
2313;26;"WEEKLY FEE";930413
5428;24;"MONTHLY FEE";930414
7123;64;"FEE AFTER TRANSACTION";930414
279;39;"MONTHLY FEE";930414
104;37;"MONTHLY FEE";930415
497;55;"MONTHLY FEE";930415
1152;45;"MONTHLY FEE";930415
83;26;"MONTHLY FEE";930416
2008;52;"MONTHLY FEE";930416
3327;45;"MONTHLY FEE";930416
5740;43;"MONTHLY FEE";930416
8132;5;"WEEKLY FEE";930417
10738;45;"WEEKLY FEE";930417
2216;74;"MONTHLY FEE";930417
1815;66;"MONTHLY FEE";930417
2823;57;"MONTHLY FEE";930418
4321;47;"MONTHLY FEE";930418
1773;33;"MONTHLY FEE";930419
7454;4;"MONTHLY FEE";930419
188;54;"MONTHLY FEE";930420
10973;18;"WEEKLY FEE";930420
2599;48;"MONTHLY FEE";930420
1166;11;"MONTHLY FEE";930421
504;73;"MONTHLY FEE";930421
1518;67;"MONTHLY FEE";930421
2189;75;"MONTHLY FEE";930422
6040;1;"MONTHLY FEE";930422
2876;52;"MONTHLY FEE";930422
1505;69;"MONTHLY FEE";930423
6897;48;"MONTHLY FEE";930423
4377;28;"MONTHLY FEE";930424
717;75;"MONTHLY FEE";930424
9707;70;"MONTHLY FEE";930424
2814;72;"MONTHLY FEE";930425
3068;59;"MONTHLY FEE";930425
1476;61;"MONTHLY FEE";930426
897;38;"MONTHLY FEE";930426
977;1;"MONTHLY FEE";930426
2639;17;"MONTHLY FEE";930426
1032;11;"MONTHLY FEE";930426
928;20;"MONTHLY FEE";930426
168;31;"MONTHLY FEE";930427
2175;1;"MONTHLY FEE";930427
10105;55;"MONTHLY FEE";930428
1392;60;"MONTHLY FEE";930428
3697;45;"MONTHLY FEE";930429
5313;40;"MONTHLY FEE";930429
2222;47;"MONTHLY FEE";930501
2641;7;"MONTHLY FEE";930502
5423;15;"MONTHLY FEE";930502
2609;73;"MONTHLY FEE";930503
5472;1;"MONTHLY FEE";930504
2932;72;"MONTHLY FEE";930504
4254;70;"MONTHLY FEE";930504
3965;31;"MONTHLY FEE";930504
10656;8;"MONTHLY FEE";930505
887;1;"MONTHLY FEE";930505
4743;64;"MONTHLY FEE";930505
1048;35;"MONTHLY FEE";930505
1671;6;"MONTHLY FEE";930505
1236;19;"MONTHLY FEE";930505
1822;30;"MONTHLY FEE";930505
3316;28;"MONTHLY FEE";930506
2037;20;"MONTHLY FEE";930506
10079;62;"MONTHLY FEE";930506
3999;35;"MONTHLY FEE";930506
551;77;"MONTHLY FEE";930507
1200;33;"MONTHLY FEE";930507
1161;66;"MONTHLY FEE";930508
5372;48;"MONTHLY FEE";930508
3050;60;"MONTHLY FEE";930508
1784;59;"MONTHLY FEE";930508
1603;1;"MONTHLY FEE";930509
1887;68;"MONTHLY FEE";930509
1644;1;"MONTHLY FEE";930509
1658;73;"MONTHLY FEE";930510
44;32;"MONTHLY FEE";930510
1039;70;"WEEKLY FEE";930510
1071;68;"WEEKLY FEE";930510
2410;54;"MONTHLY FEE";930511
2523;10;"MONTHLY FEE";930511
790;54;"MONTHLY FEE";930511
2583;62;"MONTHLY FEE";930511
1782;8;"MONTHLY FEE";930512
751;3;"MONTHLY FEE";930512
2061;24;"MONTHLY FEE";930512
8261;13;"MONTHLY FEE";930512
2321;35;"MONTHLY FEE";930513
1334;74;"MONTHLY FEE";930514
3649;54;"MONTHLY FEE";930514
555;24;"MONTHLY FEE";930515
3173;39;"MONTHLY FEE";930515
863;71;"MONTHLY FEE";930516
3181;42;"MONTHLY FEE";930516
3210;1;"MONTHLY FEE";930517
489;16;"MONTHLY FEE";930517
947;59;"MONTHLY FEE";930517
3284;64;"MONTHLY FEE";930517
1610;52;"MONTHLY FEE";930517
4225;55;"MONTHLY FEE";930518
1412;64;"MONTHLY FEE";930518
1937;36;"MONTHLY FEE";930518
991;39;"MONTHLY FEE";930518
1180;20;"MONTHLY FEE";930519
2758;70;"MONTHLY FEE";930519
2711;58;"MONTHLY FEE";930519
1652;74;"MONTHLY FEE";930520
3099;70;"MONTHLY FEE";930520
11111;1;"MONTHLY FEE";930520
9591;74;"MONTHLY FEE";930520
9828;11;"MONTHLY FEE";930520
5385;44;"WEEKLY FEE";930521
23;30;"MONTHLY FEE";930522
2645;54;"MONTHLY FEE";930522
2991;19;"MONTHLY FEE";930522
3469;76;"MONTHLY FEE";930522
1851;55;"MONTHLY FEE";930523
3844;67;"MONTHLY FEE";930523
1442;23;"MONTHLY FEE";930523
3064;40;"MONTHLY FEE";930523
3558;4;"MONTHLY FEE";930523
1534;1;"MONTHLY FEE";930524
334;1;"MONTHLY FEE";930524
1786;1;"MONTHLY FEE";930525
1272;40;"WEEKLY FEE";930525
2436;67;"MONTHLY FEE";930525
3796;53;"MONTHLY FEE";930525
119;27;"MONTHLY FEE";930525
3063;72;"MONTHLY FEE";930526
18;43;"WEEKLY FEE";930526
11320;44;"MONTHLY FEE";930526
3888;39;"MONTHLY FEE";930527
1584;30;"MONTHLY FEE";930527
5546;43;"MONTHLY FEE";930528
2029;55;"MONTHLY FEE";930529
10911;1;"WEEKLY FEE";930529
2467;33;"MONTHLY FEE";930529
2962;1;"MONTHLY FEE";930530
165;25;"MONTHLY FEE";930601
1617;45;"MONTHLY FEE";930601
327;54;"MONTHLY FEE";930602
2068;21;"MONTHLY FEE";930602
4448;60;"MONTHLY FEE";930602
640;32;"MONTHLY FEE";930602
510;1;"WEEKLY FEE";930602
2534;61;"MONTHLY FEE";930603
1018;7;"MONTHLY FEE";930603
1285;65;"MONTHLY FEE";930604
3670;27;"MONTHLY FEE";930604
1743;51;"MONTHLY FEE";930604
3072;8;"MONTHLY FEE";930605
2146;31;"MONTHLY FEE";930605
4576;27;"MONTHLY FEE";930605
3258;53;"MONTHLY FEE";930605
2176;67;"MONTHLY FEE";930606
8934;51;"MONTHLY FEE";930606
1999;70;"MONTHLY FEE";930606
2741;15;"MONTHLY FEE";930607
4427;32;"MONTHLY FEE";930607
3682;70;"MONTHLY FEE";930607
2862;33;"MONTHLY FEE";930607
3032;5;"MONTHLY FEE";930607
701;69;"MONTHLY FEE";930608
6281;56;"MONTHLY FEE";930608
306;16;"MONTHLY FEE";930608
1207;67;"MONTHLY FEE";930608
1247;25;"MONTHLY FEE";930608
5343;64;"MONTHLY FEE";930608
5129;68;"MONTHLY FEE";930608
3713;14;"WEEKLY FEE";930608
2327;19;"MONTHLY FEE";930608
774;1;"MONTHLY FEE";930608
1990;1;"MONTHLY FEE";930609
2388;30;"MONTHLY FEE";930609
3566;21;"MONTHLY FEE";930609
10266;54;"MONTHLY FEE";930610
3771;22;"MONTHLY FEE";930611
1978;57;"WEEKLY FEE";930611
2022;72;"MONTHLY FEE";930611
3542;49;"MONTHLY FEE";930611
1515;11;"MONTHLY FEE";930611
4171;28;"MONTHLY FEE";930612
433;20;"MONTHLY FEE";930612
1373;47;"MONTHLY FEE";930612
3246;54;"MONTHLY FEE";930614
1475;1;"WEEKLY FEE";930614
3133;66;"MONTHLY FEE";930614
2779;73;"MONTHLY FEE";930615
135;75;"MONTHLY FEE";930615
446;50;"MONTHLY FEE";930615
9093;47;"MONTHLY FEE";930616
432;46;"MONTHLY FEE";930616
2880;71;"MONTHLY FEE";930616
5767;72;"MONTHLY FEE";930616
1998;1;"MONTHLY FEE";930617
2554;36;"MONTHLY FEE";930618
2933;10;"MONTHLY FEE";930618
773;15;"MONTHLY FEE";930619
4894;14;"MONTHLY FEE";930620
3969;39;"MONTHLY FEE";930620
1277;31;"MONTHLY FEE";930620
5120;1;"MONTHLY FEE";930621
738;34;"MONTHLY FEE";930621
1299;1;"MONTHLY FEE";930621
148;8;"MONTHLY FEE";930621
899;72;"MONTHLY FEE";930621
3521;75;"MONTHLY FEE";930622
3786;21;"MONTHLY FEE";930622
886;1;"MONTHLY FEE";930623
5228;77;"FEE AFTER TRANSACTION";930623
702;12;"MONTHLY FEE";930623
300;1;"MONTHLY FEE";930623
1451;64;"MONTHLY FEE";930624
2940;54;"MONTHLY FEE";930624
1837;23;"MONTHLY FEE";930624
3954;22;"MONTHLY FEE";930625
885;1;"MONTHLY FEE";930625
2697;8;"MONTHLY FEE";930626
8129;45;"MONTHLY FEE";930626
1930;3;"MONTHLY FEE";930627
2411;69;"MONTHLY FEE";930627
3775;19;"MONTHLY FEE";930627
9034;1;"MONTHLY FEE";930628
902;74;"MONTHLY FEE";930629
630;71;"MONTHLY FEE";930629
3096;68;"MONTHLY FEE";930629
2552;52;"MONTHLY FEE";930701
3435;59;"MONTHLY FEE";930701
5215;55;"MONTHLY FEE";930701
36;1;"MONTHLY FEE";930701
2687;76;"MONTHLY FEE";930701
1861;54;"MONTHLY FEE";930702
2464;33;"FEE AFTER TRANSACTION";930702
2736;72;"MONTHLY FEE";930702
1145;31;"MONTHLY FEE";930703
2298;31;"MONTHLY FEE";930703
929;54;"MONTHLY FEE";930703
381;68;"MONTHLY FEE";930704
3778;52;"MONTHLY FEE";930704
1118;48;"MONTHLY FEE";930704
4352;2;"MONTHLY FEE";930705
1322;17;"MONTHLY FEE";930705
1852;35;"MONTHLY FEE";930705
8173;11;"MONTHLY FEE";930705
2705;63;"FEE AFTER TRANSACTION";930705
9472;1;"WEEKLY FEE";930706
368;77;"MONTHLY FEE";930706
1425;76;"MONTHLY FEE";930706
8027;44;"WEEKLY FEE";930707
3261;1;"MONTHLY FEE";930707
35;75;"MONTHLY FEE";930707
2186;63;"MONTHLY FEE";930707
1566;73;"MONTHLY FEE";930707
78;74;"MONTHLY FEE";930707
3939;70;"MONTHLY FEE";930708
2584;50;"MONTHLY FEE";930708
2336;39;"MONTHLY FEE";930708
2078;62;"MONTHLY FEE";930708
3882;10;"MONTHLY FEE";930709
4159;74;"MONTHLY FEE";930709
907;41;"MONTHLY FEE";930709
1411;54;"MONTHLY FEE";930709
1684;32;"WEEKLY FEE";930710
3748;1;"MONTHLY FEE";930710
2213;68;"MONTHLY FEE";930711
1062;6;"MONTHLY FEE";930711
273;24;"FEE AFTER TRANSACTION";930711
10320;68;"MONTHLY FEE";930711
1416;66;"WEEKLY FEE";930712
3277;36;"MONTHLY FEE";930712
1892;28;"MONTHLY FEE";930713
3413;70;"MONTHLY FEE";930713
3654;47;"MONTHLY FEE";930713
3000;28;"MONTHLY FEE";930714
3955;64;"MONTHLY FEE";930714
1544;69;"MONTHLY FEE";930714
9703;68;"MONTHLY FEE";930715
234;73;"MONTHLY FEE";930715
3241;44;"MONTHLY FEE";930716
3465;1;"MONTHLY FEE";930716
3152;1;"MONTHLY FEE";930716
1497;1;"MONTHLY FEE";930716
3078;1;"MONTHLY FEE";930716
400;28;"MONTHLY FEE";930717
1902;50;"WEEKLY FEE";930717
757;50;"MONTHLY FEE";930719
1116;1;"MONTHLY FEE";930720
5700;42;"MONTHLY FEE";930720
3267;64;"MONTHLY FEE";930721
3222;4;"MONTHLY FEE";930721
408;41;"MONTHLY FEE";930721
2818;40;"MONTHLY FEE";930721
6273;38;"MONTHLY FEE";930721
2513;70;"MONTHLY FEE";930722
3493;63;"MONTHLY FEE";930722
1201;61;"MONTHLY FEE";930723
4478;70;"MONTHLY FEE";930723
2915;57;"MONTHLY FEE";930723
9833;20;"MONTHLY FEE";930724
2253;74;"MONTHLY FEE";930724
1069;70;"MONTHLY FEE";930724
207;2;"MONTHLY FEE";930725
3212;70;"MONTHLY FEE";930725
4035;1;"MONTHLY FEE";930725
1268;74;"MONTHLY FEE";930725
3287;18;"MONTHLY FEE";930726
6226;74;"WEEKLY FEE";930726
2123;64;"MONTHLY FEE";930726
3982;26;"MONTHLY FEE";930727
2701;71;"MONTHLY FEE";930727
3629;48;"MONTHLY FEE";930727
2841;71;"MONTHLY FEE";930727
563;53;"MONTHLY FEE";930727
2732;5;"MONTHLY FEE";930727
1297;70;"MONTHLY FEE";930727
7485;39;"MONTHLY FEE";930728
2088;4;"MONTHLY FEE";930728
225;1;"MONTHLY FEE";930728
1630;72;"MONTHLY FEE";930728
403;1;"MONTHLY FEE";930729
445;63;"WEEKLY FEE";930729
186;1;"WEEKLY FEE";930729
3720;36;"MONTHLY FEE";930730
574;70;"MONTHLY FEE";930730
1429;57;"MONTHLY FEE";930730
3580;43;"MONTHLY FEE";930801
7819;38;"MONTHLY FEE";930801
759;23;"MONTHLY FEE";930801
6363;74;"MONTHLY FEE";930801
3738;51;"MONTHLY FEE";930801
4000;7;"MONTHLY FEE";930802
9041;1;"MONTHLY FEE";930803
2620;22;"MONTHLY FEE";930803
3609;28;"MONTHLY FEE";930803
1382;48;"MONTHLY FEE";930803
930;41;"MONTHLY FEE";930803
1925;12;"MONTHLY FEE";930803
1834;62;"MONTHLY FEE";930803
1507;35;"MONTHLY FEE";930803
7857;75;"MONTHLY FEE";930804
6636;72;"WEEKLY FEE";930804
601;29;"MONTHLY FEE";930804
3298;29;"MONTHLY FEE";930804
2938;1;"MONTHLY FEE";930804
2199;1;"MONTHLY FEE";930804
3745;5;"MONTHLY FEE";930804
3699;50;"MONTHLY FEE";930805
816;52;"MONTHLY FEE";930805
3656;53;"MONTHLY FEE";930806
2038;42;"MONTHLY FEE";930806
2542;21;"MONTHLY FEE";930807
1136;12;"MONTHLY FEE";930807
1589;37;"MONTHLY FEE";930807
3136;69;"MONTHLY FEE";930807
3547;54;"MONTHLY FEE";930807
26;52;"MONTHLY FEE";930808
657;47;"MONTHLY FEE";930808
3538;58;"MONTHLY FEE";930808
2167;16;"MONTHLY FEE";930808
3127;66;"MONTHLY FEE";930808
47;45;"MONTHLY FEE";930808
3850;8;"MONTHLY FEE";930809
5366;70;"MONTHLY FEE";930809
747;39;"MONTHLY FEE";930809
3166;71;"MONTHLY FEE";930810
11021;1;"MONTHLY FEE";930810
1701;1;"MONTHLY FEE";930810
3613;43;"MONTHLY FEE";930810
3600;27;"MONTHLY FEE";930810
3792;10;"MONTHLY FEE";930811
523;1;"MONTHLY FEE";930811
3808;38;"MONTHLY FEE";930811
1401;1;"MONTHLY FEE";930812
541;61;"MONTHLY FEE";930812
1023;21;"MONTHLY FEE";930813
3683;33;"MONTHLY FEE";930813
3220;29;"MONTHLY FEE";930814
1779;33;"MONTHLY FEE";930815
1912;64;"MONTHLY FEE";930815
238;6;"MONTHLY FEE";930815
3113;67;"MONTHLY FEE";930816
5481;52;"MONTHLY FEE";930816
3035;15;"WEEKLY FEE";930816
942;9;"MONTHLY FEE";930816
3221;5;"MONTHLY FEE";930817
2616;1;"MONTHLY FEE";930817
2137;4;"FEE AFTER TRANSACTION";930817
978;73;"MONTHLY FEE";930818
2771;37;"MONTHLY FEE";930818
3891;1;"MONTHLY FEE";930818
9236;11;"MONTHLY FEE";930818
274;76;"MONTHLY FEE";930820
552;14;"MONTHLY FEE";930820
2417;44;"MONTHLY FEE";930820
3868;43;"MONTHLY FEE";930821
9869;12;"MONTHLY FEE";930821
1875;44;"MONTHLY FEE";930821
8212;52;"FEE AFTER TRANSACTION";930821
3477;71;"MONTHLY FEE";930822
1513;30;"MONTHLY FEE";930823
3053;11;"MONTHLY FEE";930823
1057;13;"MONTHLY FEE";930823
6030;47;"MONTHLY FEE";930824
3407;28;"MONTHLY FEE";930824
1761;24;"MONTHLY FEE";930824
3306;75;"MONTHLY FEE";930824
162;60;"MONTHLY FEE";930825
5011;31;"MONTHLY FEE";930825
965;20;"MONTHLY FEE";930825
1305;57;"MONTHLY FEE";930825
815;56;"MONTHLY FEE";930825
1449;35;"MONTHLY FEE";930826
